Fecha	Inicio	Fin	1-1:1.5 kW	1-1:2.5 kW	1-1:3.5 kvar	1-1:4.5 kvar	1-1:5.5 kvar	1-1:6.5 kvar	1-1:7.5 kvar	1-1:8.5 kvar	Estado	
01/05/2019	12:00 a.m.	12:15 a.m.	0,0046	0,0	0,0198	0,0	0,0198	0,0	0,0	0,0	0000 0000	
01/05/2019	12:15 a.m.	12:30 a.m.	0,0046	0,0	0,0195	0,0	0,0194	0,0	0,0	0,0	0000 0000	
01/05/2019	12:30 a.m.	12:45 a.m.	0,0047	0,0	0,02	0,0	0,0201	0,0	0,0	0,0	0000 0000	
01/05/2019	12:45 a.m.	01:00 a.m.	0,0047	0,0	0,0203	0,0	0,0203	0,0	0,0	0,0	0000 0000	
01/05/2019	01:00 a.m.	01:15 a.m.	0,0048	0,0	0,0204	0,0	0,0204	0,0	0,0	0,0	0000 0000	
01/05/2019	01:15 a.m.	01:30 a.m.	0,0047	0,0	0,0204	0,0	0,0204	0,0	0,0	0,0	0000 0000	
01/05/2019	01:30 a.m.	01:45 a.m.	0,0048	0,0	0,0203	0,0	0,0203	0,0	0,0	0,0	0000 0000	
01/05/2019	01:45 a.m.	02:00 a.m.	0,0047	0,0	0,0204	0,0	0,0204	0,0	0,0	0,0	0000 0000	
01/05/2019	02:00 a.m.	02:15 a.m.	0,0048	0,0	0,0203	0,0	0,0203	0,0	0,0	0,0	0000 0000	
01/05/2019	02:15 a.m.	02:30 a.m.	0,0048	0,0	0,0205	0,0	0,0205	0,0	0,0	0,0	0000 0000	
01/05/2019	02:30 a.m.	02:45 a.m.	0,0046	0,0	0,0199	0,0	0,0199	0,0	0,0	0,0	0000 0000	
01/05/2019	02:45 a.m.	03:00 a.m.	0,0047	0,0	0,0194	0,0	0,0194	0,0	0,0	0,0	0000 0000	
01/05/2019	03:00 a.m.	03:15 a.m.	0,0046	0,0	0,0191	0,0	0,0191	0,0	0,0	0,0	0000 0000	
01/05/2019	03:15 a.m.	03:30 a.m.	0,0045	0,0	0,0187	0,0	0,0186	0,0	0,0	0,0	0000 0000	
01/05/2019	03:30 a.m.	03:45 a.m.	0,0045	0,0	0,018	0,0	0,0181	0,0	0,0	0,0	0000 0000	
01/05/2019	03:45 a.m.	04:00 a.m.	0,0044	0,0	0,0176	0,0	0,0176	0,0	0,0	0,0	0000 0000	
01/05/2019	04:00 a.m.	04:15 a.m.	0,0043	0,0	0,0165	0,0	0,0165	0,0	0,0	0,0	0000 0000	
01/05/2019	04:15 a.m.	04:30 a.m.	0,0043	0,0	0,0157	0,0	0,0157	0,0	0,0	0,0	0000 0000	
01/05/2019	04:30 a.m.	04:45 a.m.	0,0042	0,0	0,0154	0,0	0,0154	0,0	0,0	0,0	0000 0000	
01/05/2019	04:45 a.m.	05:00 a.m.	0,0042	0,0	0,0151	0,0	0,0151	0,0	0,0	0,0	0000 0000	
01/05/2019	05:00 a.m.	05:15 a.m.	0,0041	0,0	0,0145	0,0	0,0145	0,0	0,0	0,0	0000 0000	
01/05/2019	05:15 a.m.	05:30 a.m.	0,0042	0,0	0,0147	0,0	0,0147	0,0	0,0	0,0	0000 0000	
01/05/2019	05:30 a.m.	05:45 a.m.	0,0042	0,0	0,0152	0,0	0,0152	0,0	0,0	0,0	0000 0000	
01/05/2019	05:45 a.m.	06:00 a.m.	0,0042	0,0	0,0153	0,0	0,0152	0,0	0,0	0,0	0000 0000	
01/05/2019	06:00 a.m.	06:15 a.m.	0,0043	0,0	0,0154	0,0	0,0155	0,0	0,0	0,0	0000 0000	
01/05/2019	06:15 a.m.	06:30 a.m.	0,0042	0,0	0,0153	0,0	0,0153	0,0	0,0	0,0	0000 0000	
01/05/2019	06:30 a.m.	06:45 a.m.	0,0042	0,0	0,0152	0,0	0,0152	0,0	0,0	0,0	0000 0000	
01/05/2019	06:45 a.m.	07:00 a.m.	0,0042	0,0	0,0153	0,0	0,0153	0,0	0,0	0,0	0000 0000	
01/05/2019	07:00 a.m.	07:15 a.m.	0,0041	0,0	0,015	0,0	0,015	0,0	0,0	0,0	0000 0000	
01/05/2019	07:15 a.m.	07:30 a.m.	0,004	0,0	0,0149	0,0	0,0149	0,0	0,0	0,0	0000 0000	
01/05/2019	07:30 a.m.	07:45 a.m.	0,004	0,0	0,0145	0,0	0,0145	0,0	0,0	0,0	0000 0000	
