Units: ENERGY (Kilo), interval
"Meter ID:" "Date" "Time" "Int.Len" "kWh-Del" "kVARh-Del" "kWh-Rec" "kVARh-Rec"
"            10483565" "01/05/19" "00:15" 15 0,714600000000000 0,328050000000000 0,000000000000000 0,000000000000000
"            10483565" "01/05/19" "00:30" 15 0,721200000000000 0,331275000000000 0,000000000000000 0,000000000000000
"            10483565" "01/05/19" "00:45" 15 0,726450000000000 0,334425000000000 0,000000000000000 0,000000000000000
"            10483565" "01/05/19" "01:00" 15 0,730800000000000 0,336675000000000 0,000000000000000 0,000000000000000
"            10483565" "01/05/19" "01:15" 15 0,733950000000000 0,338400000000000 0,000000000000000 0,000000000000000
"            10483565" "01/05/19" "01:30" 15 0,735750000000000 0,339075000000000 0,000000000000000 0,000000000000000
"            10483565" "01/05/19" "01:45" 15 0,736725000000000 0,339600000000000 0,000000000000000 0,000000000000000
"            10483565" "01/05/19" "02:00" 15 0,737925000000000 0,340125000000000 0,000000000000000 0,000000000000000
"            10483565" "01/05/19" "02:15" 15 0,738900000000000 0,340650000000000 0,000000000000000 0,000000000000000
"            10483565" "01/05/19" "02:30" 15 0,739425000000000 0,341025000000000 0,000000000000000 0,000000000000000
"            10483565" "01/05/19" "02:45" 15 0,740175000000000 0,341250000000000 0,000000000000000 0,000000000000000
"            10483565" "01/05/19" "03:00" 15 0,741000000000000 0,341625000000000 0,000000000000000 0,000000000000000
"            10483565" "01/05/19" "03:15" 15 0,741000000000000 0,341475000000000 0,000000000000000 0,000000000000000
"            10483565" "01/05/19" "03:30" 15 0,740775000000000 0,341250000000000 0,000000000000000 0,000000000000000
"            10483565" "01/05/19" "03:45" 15 0,740625000000000 0,340575000000000 0,000000000000000 0,000000000000000
"            10483565" "01/05/19" "04:00" 15 0,740475000000000 0,340800000000000 0,000000000000000 0,000000000000000
"            10483565" "01/05/19" "04:15" 15 0,740700000000000 0,340500000000000 0,000000000000000 0,000000000000000
"            10483565" "01/05/19" "04:30" 15 0,741000000000000 0,340425000000000 0,000000000000000 0,000000000000000
"            10483565" "01/05/19" "04:45" 15 0,740925000000000 0,340425000000000 0,000000000000000 0,000000000000000
"            10483565" "01/05/19" "05:00" 15 0,741225000000000 0,340575000000000 0,000000000000000 0,000000000000000
"            10483565" "01/05/19" "05:15" 15 0,741375000000000 0,340575000000000 0,000000000000000 0,000000000000000
"            10483565" "01/05/19" "05:30" 15 0,741900000000000 0,340950000000000 0,000000000000000 0,000000000000000
"            10483565" "01/05/19" "05:45" 15 0,742350000000000 0,341325000000000 0,000000000000000 0,000000000000000
"            10483565" "01/05/19" "06:00" 15 0,742425000000000 0,341550000000000 0,000000000000000 0,000000000000000
"            10483565" "01/05/19" "06:15" 15 0,743250000000000 0,342225000000000 0,000000000000000 0,000000000000000
"            10483565" "01/05/19" "06:30" 15 0,742725000000000 0,342075000000000 0,000000000000000 0,000000000000000
"            10483565" "01/05/19" "06:45" 15 0,742425000000000 0,341850000000000 0,000000000000000 0,000000000000000
"            10483565" "01/05/19" "07:00" 15 0,742425000000000 0,341925000000000 0,000000000000000 0,000000000000000
